municipality,office_id,role,elected,seats,seat_structure,term_years,staggered_terms,partisan,legal_source_url,election_source_url,results_source_url,verification_status,notes,local_title
Orange,orange-ma/town-clerk,Town Clerk,True,1,at-large,3,False,,Town Clerk,Charter enumerates elected Town Clerk.,https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter116,schema-ready,https://www.townoforange.org/DocumentCenter/View/1160/2026-03-02-Town-Election-Results,https://www.townoforange.org/214/Elections
Orange,orange-ma/moderator,Moderator,True,1,at-large,3,False,,Town Moderator,Charter enumerates elected Moderator.,https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter116,schema-ready,https://www.townoforange.org/DocumentCenter/View/1160/2026-03-02-Town-Election-Results,https://www.townoforange.org/214/Elections
Orange,orange-ma/library-trustee,Library Trustee,True,6,at-large,3,True,,Wheeler Memorial Library Trustee,Charter fixes six elected library trustees.,https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter116,schema-ready,https://www.townoforange.org/DocumentCenter/View/1160/2026-03-02-Town-Election-Results,https://www.townoforange.org/214/Elections
Orange,orange-ma/select-board-member,Select Board Member,True,5,at-large,3,True,,Select Board Member,Charter fixes five elected Select Board members.,https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter116,schema-ready,https://www.townoforange.org/DocumentCenter/View/1160/2026-03-02-Town-Election-Results,https://www.townoforange.org/214/Elections
Orange,orange-ma/board-of-health-member,Board of Health Member,True,3,at-large,3,True,,Board of Health Member,Charter enumerates an elected Board of Health.,https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter116,schema-ready,https://www.townoforange.org/DocumentCenter/View/1160/2026-03-02-Town-Election-Results,https://www.townoforange.org/214/Elections
Orange,orange-ma/water-commissioner,Water Commissioner,True,3,at-large,3,True,,Water Commissioner,Charter enumerates an elected Water Commission.,https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter116,schema-ready,https://www.townoforange.org/DocumentCenter/View/1160/2026-03-02-Town-Election-Results,https://www.townoforange.org/214/Elections
Orange,orange-ma/cemetery-commissioner,Cemetery Commissioner,True,3,at-large,3,True,,Cemetery Commissioner,Charter enumerates an elected Cemetery Commission.,https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter116,schema-ready,https://www.townoforange.org/DocumentCenter/View/1160/2026-03-02-Town-Election-Results,https://www.townoforange.org/214/Elections
Orange,orange-ma/housing-authority-member,Housing Authority Member,True,3,at-large,5,True,,Housing Authority Member,"Five-member authority; charter identifies three locally elected seats, with two appointed seats excluded.",https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter116,schema-ready,https://www.townoforange.org/DocumentCenter/View/1160/2026-03-02-Town-Election-Results,https://www.townoforange.org/214/Elections
Orange,orange-ma/elementary-school-committee-member,Elementary School Committee Member,True,5,at-large,3,True,,Orange Elementary School Committee Member,Charter enumerates the elected elementary school committee.,https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter116,schema-ready,https://www.townoforange.org/DocumentCenter/View/1160/2026-03-02-Town-Election-Results,https://www.townoforange.org/214/Elections
Orange,orange-ma/regional-school-committee-member,Regional School Committee Member,True,,municipality-allocated,3,True,,https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter116,https://www.townoforange.org/214/Elections,https://www.rcmahar.org/school-committee,elected-status-verified-seat-count-unresolved,"Elected status is explicit, but authoritative sources conflict on Orange's current allocation/committee size; no seat count is forced.",Mahar Regional School Committee Member
Orange,orange-ma/soldiers-memorial-trustee,Soldiers' Memorial Trustee,True,,at-large,3,True,,https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter116,https://www.townoforange.org/214/Elections,https://www.townoforange.org/DocumentCenter/View/1160/2026-03-02-Town-Election-Results,elected-status-verified-seat-count-unresolved,"The 2026 election contains multiple veteran/non-veteran contests, but total elected trustee composition was not normalized safely.",Soldiers' Memorial Trustee
Orange,orange-ma/constable,Constable,True,,at-large,3,True,,https://malegislature.gov/Laws/SessionLaws/Acts/2026/Chapter116,https://www.townoforange.org/214/Elections,https://www.townoforange.org/DocumentCenter/View/1160/2026-03-02-Town-Election-Results,elected-status-verified-seat-count-unresolved,Charter uses plural 'constables' and the 2026 result elects one seat; total current elected seat count remains unresolved.,Constable
Orleans,orleans-ma/select-board-member,Select Board Member,True,5,at-large,3,True,,https://www.orleansma.gov/707/Select-Board,https://www.orleansma.gov/197/Elections-Voting,https://www.orleansma.gov/DocumentCenter/View/11135/Offical-Results---Annual-Town-Election---May-19th-2026,schema-ready,Current town structure and roster support five elected members.,Select Board Member
Orleans,orleans-ma/board-of-health-member,Board of Health Member,True,5,at-large,3,True,,https://www.orleansma.gov/518/Board-of-Health,https://www.orleansma.gov/197/Elections-Voting,https://www.orleansma.gov/DocumentCenter/View/11135/Offical-Results---Annual-Town-Election---May-19th-2026,schema-ready,Official page expressly describes five elected members.,Board of Health Member
Orleans,orleans-ma/constable,Constable,True,2,at-large,3,True,,https://www.orleansma.gov/DocumentCenter/View/11135/Offical-Results---Annual-Town-Election---May-19th-2026,https://www.orleansma.gov/197/Elections-Voting,https://www.orleansma.gov/DocumentCenter/View/11135/Offical-Results---Annual-Town-Election---May-19th-2026,schema-ready,Two elected constable seats are preserved; one current seat remains unresolved.,Constable
Orleans,orleans-ma/housing-authority-member,Housing Authority Member,True,3,at-large,5,True,,https://www.orleansma.gov/743/Housing-Authority,https://www.orleansma.gov/197/Elections-Voting,https://www.orleansma.gov/DocumentCenter/View/11135/Offical-Results---Annual-Town-Election---May-19th-2026,schema-ready,Three municipal elected seats modeled; governor-appointed seat excluded.,Housing Authority Member
Orleans,orleans-ma/nauset-regional-school-committee-member,Regional School Committee Member,True,3,municipality-allocated,3,True,,https://www.orleansma.gov/1846/Nauset-Regional-School-Committee,https://www.orleansma.gov/197/Elections-Voting,https://www.orleansma.gov/DocumentCenter/View/11135/Offical-Results---Annual-Town-Election---May-19th-2026,schema-ready,Official current page identifies three Orleans representatives and describes the body as elected.,Nauset Regional School Committee Member
Orleans,orleans-ma/school-committee-member,School Committee Member,True,5,at-large,3,True,,https://www.orleansma.gov/677/Orleans-School-Committee,https://www.orleansma.gov/197/Elections-Voting,https://www.orleansma.gov/DocumentCenter/View/11135/Offical-Results---Annual-Town-Election---May-19th-2026,schema-ready,Current page is reconciled to five active seats; an expired record is not carried forward.,Orleans School Committee Member
Orleans,orleans-ma/snow-library-trustee,Library Trustee,True,7,at-large,3,True,,https://www.orleansma.gov/749/Snow-Library-Board-of-Trustees,https://www.orleansma.gov/197/Elections-Voting,https://www.orleansma.gov/DocumentCenter/View/11135/Offical-Results---Annual-Town-Election---May-19th-2026,schema-ready,Official current roster contains seven trustees.,Snow Library Trustee
Orleans,orleans-ma/old-kings-highway-regional-historic-district-committee-member,Regional Historic District Committee Member,True,5,regional-district,,True,,https://www.orleansma.gov/667/Old-Kings-Highway-Regional-Historic-Dist,https://www.orleansma.gov/197/Elections-Voting,https://www.orleansma.gov/DocumentCenter/View/11135/Offical-Results---Annual-Town-Election---May-19th-2026,schema-ready,Current five-member roster preserved; present-day elected mechanism remains a review note.,Old King's Highway Regional Historic District Committee Member
Orleans,orleans-ma/moderator,Moderator,True,1,at-large,,False,,https://www.orleansma.gov/197/Elections-Voting,https://www.orleansma.gov/197/Elections-Voting,https://www.orleansma.gov/DocumentCenter/View/11135/Offical-Results---Annual-Town-Election---May-19th-2026,schema-ready,Elected office retained; current holder could not be reconciled safely.,Moderator
Otis,otis-ma/select-board-member,Select Board Member,True,3,at-large,3,True,,https://www.townofotisma.com/boards_commissions/select_board/index.php,https://www.townofotisma.com/boards_commissions/bor/index.php,https://www.townofotisma.com/boards_commissions/bor/index.php,schema-ready,Official page states a three-member elected board with one member elected annually.,Select Board Member
Otis,otis-ma/town-clerk,Town Clerk,True,1,at-large,3,False,,https://www.townofotisma.com/boards_commissions/bor/index.php,https://www.townofotisma.com/boards_commissions/bor/index.php,https://www.townofotisma.com/boards_commissions/bor/index.php,schema-ready,Current Board of Registrars identifies Lyn O'Brien as Town Clerk/Registrar.,Town Clerk
Otis,otis-ma/moderator,Moderator,True,1,at-large,1,False,,https://www.townofotisma.com/boards_commissions/bor/index.php,https://www.townofotisma.com/boards_commissions/bor/index.php,https://www.townofotisma.com/boards_commissions/bor/index.php,schema-ready,Current Board of Registrars page identifies David Sarnacki as Moderator.,Moderator
Otis,otis-ma/tree-warden,Tree Warden,True,1,at-large,1,False,,https://townofotisma.com/Documents/Boards%20Commissions/Elections%20Board%20of%20Registrars/ATM-Warrant-05-21-2024.pdf?t=202509251301510,https://www.townofotisma.com/boards_commissions/bor/index.php,https://www.townofotisma.com/boards_commissions/bor/index.php,schema-ready,Annual election structure preserved; current holder remains unresolved.,Tree Warden
Otis,otis-ma/constable,Constable,True,1,at-large,3,False,,https://www.townofotisma.com/boards_commissions/bor/index.php,https://www.townofotisma.com/boards_commissions/bor/index.php,https://www.townofotisma.com/boards_commissions/bor/index.php,schema-ready,Current Board of Registrars identifies Jack Conboy as Constable.,Constable
Otis,otis-ma/finance-board-member,Finance Board Member,True,3,at-large,3,True,,https://www.townofotisma.com/boards_commissions/finance_committee/index.php,https://www.townofotisma.com/boards_commissions/bor/index.php,https://www.townofotisma.com/boards_commissions/bor/index.php,schema-ready,Official page expressly states Finance Board members are elected officials.,Finance Board Member
Otis,otis-ma/assessor,Assessor,True,3,at-large,3,True,,https://townofotisma.com/boards_commissions/energy_committee/index.php,https://www.townofotisma.com/boards_commissions/bor/index.php,https://www.townofotisma.com/boards_commissions/bor/index.php,schema-ready,Three-seat elected board preserved; current roster includes an appointed vacancy-filler in one elected office seat.,Assessor
Otis,otis-ma/cemetery-commissioner,Cemetery Commissioner,True,3,at-large,3,True,,https://townofotisma.com/Documents/Boards%20Commissions/Elections%20Board%20of%20Registrars/ATM-Warrant-05-21-2024.pdf?t=202509251301510,https://www.townofotisma.com/boards_commissions/bor/index.php,https://www.townofotisma.com/boards_commissions/bor/index.php,schema-ready,Elected structure preserved; current post-election roster remains unresolved.,Cemetery Commissioner
Otis,otis-ma/library-trustee,Library Trustee,True,3,at-large,3,True,,https://townofotisma.com/departments/library/index.php,https://www.townofotisma.com/boards_commissions/bor/index.php,https://www.townofotisma.com/boards_commissions/bor/index.php,schema-ready,Three elected trustee seats modeled; current page separately labels four additional trustees as appointed.,Library Trustee
Otis,otis-ma/planning-board-member,Planning Board Member,True,5,at-large,5,True,,https://townofotisma.com/boards_commissions/planning_board/index.php,https://www.townofotisma.com/boards_commissions/bor/index.php,https://www.townofotisma.com/boards_commissions/bor/index.php,schema-ready,Current official page lists five staggered elected-term members.,Planning Board Member
Otis,otis-ma/farmington-river-regional-school-committee-member,Regional School Committee Member,True,3,municipality-allocated,,True,,https://www.townofotisma.com/boards_commissions/school_board/index.php,https://www.townofotisma.com/boards_commissions/bor/index.php,https://www.townofotisma.com/boards_commissions/bor/index.php,schema-ready,Current official page lists three Otis representatives; older materials reflected a different allocation and are flagged for review.,Farmington River Regional School Committee Member
Oxford,oxford-ma/select-board-member,Select Board Member,True,5,at-large,3,True,,https://www.oxfordma.us/209/Board-of-Selectmen,https://www.oxfordma.us/353/Elections-Voting,https://oxfordma.us/DocumentCenter/View/2845/May-19-2026---Official-Annual-Town-Election-Results,schema-ready,FY26 organizational materials identify the Select Board as elected.,Board of Selectmen Member
Oxford,oxford-ma/library-trustee,Library Trustee,True,3,at-large,3,True,,https://oxfordma.us/Archive/ViewFile/Item/238,https://www.oxfordma.us/353/Elections-Voting,https://oxfordma.us/DocumentCenter/View/2845/May-19-2026---Official-Annual-Town-Election-Results,schema-ready,FY26 organizational chart and current election materials identify the trustees as elected.,Board of Library Trustees Member
Oxford,oxford-ma/housing-authority-member,Housing Authority Member,True,3,at-large,5,True,,https://www.oxfordma.us/895/Housing-Authority,https://www.oxfordma.us/353/Elections-Voting,https://oxfordma.us/DocumentCenter/View/2845/May-19-2026---Official-Annual-Town-Election-Results,schema-ready,Three elected seats modeled; state appointee and tenant member excluded.,Oxford Housing Authority Member
Oxford,oxford-ma/moderator,Moderator,True,1,at-large,3,False,,https://oxfordma.us/Archive/ViewFile/Item/238,https://www.oxfordma.us/353/Elections-Voting,https://oxfordma.us/DocumentCenter/View/2845/May-19-2026---Official-Annual-Town-Election-Results,schema-ready,FY26 organizational materials identify Moderator as elected.,Moderator
Oxford,oxford-ma/school-committee-member,School Committee Member,True,5,at-large,3,True,,https://oxfordma.us/Archive/ViewFile/Item/238,https://www.oxfordma.us/353/Elections-Voting,https://oxfordma.us/DocumentCenter/View/2845/May-19-2026---Official-Annual-Town-Election-Results,schema-ready,FY26 organizational chart identifies School Committee as elected.,School Committee Member
Oxford,oxford-ma/southern-worcester-county-regional-vocational-school-district-committee-member,Regional Vocational School District Committee Member,True,2,municipality-allocated,3,True,,https://oxfordma.us/Archive/ViewFile/Item/238,https://www.oxfordma.us/353/Elections-Voting,https://oxfordma.us/DocumentCenter/View/2845/May-19-2026---Official-Annual-Town-Election-Results,schema-ready,Oxford elects two SWCRVSD/Bay Path representatives.,Bay Path Regional Vocational School District Committee Member
Palmer,palmer-ma/town-council-member,Town Council Member,True,7,mixed,3,True,,https://www.townofpalmer.com/localgov,https://www.townofpalmer.com/townclerk,https://www.townofpalmer.com/townclerk,schema-ready,Seven members: three at-large and four district seats.,Town Council Member
Palmer,palmer-ma/school-committee-member,School Committee Member,True,5,at-large,3,True,,https://www.townofpalmer.com/vertical/sites/%7B034F9CAE-5196-4551-90C2-FBFD76374BDB%7D/uploads/Town_Charter_1-7-13.pdf,https://www.townofpalmer.com/townclerk,https://www.townofpalmer.com/townclerk,schema-ready,Charter Article 4 establishes five elected School Committee members.,School Committee Member
Palmer,palmer-ma/planning-board-member,Planning Board Member,True,5,at-large,3,True,,https://www.townofpalmer.com/vertical/sites/%7B034F9CAE-5196-4551-90C2-FBFD76374BDB%7D/uploads/Town_Charter_1-7-13.pdf,https://www.townofpalmer.com/townclerk,https://www.townofpalmer.com/townclerk,schema-ready,Charter Article 4 establishes five elected Planning Board members.,Planning Board Member
Palmer,palmer-ma/fire-water-district-no-1-prudential-committee-member,District Prudential Committee Member,True,3,special-district,,True,,https://www.townofpalmer.com/index.asp?DE=2391814C-70B3-4B54-8AEB-3B6DEB312ECA&SEC=E3EF158B-7092-480A-AAAC-2BB1E0A4B36C,https://www.townofpalmer.com/townclerk,https://www.townofpalmer.com/townclerk,schema-ready,Separate district elected governance retained.,Palmer Fire/Water District No. 1 Prudential Committee Member
Palmer,palmer-ma/water-district-no-1-water-commissioner,Water District Commissioner,True,3,special-district,,True,,https://www.townofpalmer.com/waterdistrict1,https://www.townofpalmer.com/townclerk,https://www.townofpalmer.com/townclerk,schema-ready,Separate district commissioner office.,Palmer Water District No. 1 Commissioner
Palmer,palmer-ma/fire-district-no-1-clerk,District Clerk,True,1,special-district,,False,,https://www.townofpalmer.com/index.asp?DE=2391814C-70B3-4B54-8AEB-3B6DEB312ECA&SEC=E3EF158B-7092-480A-AAAC-2BB1E0A4B36C,https://www.townofpalmer.com/townclerk,https://www.townofpalmer.com/townclerk,schema-ready,Separate district clerk office retained; current official roster identifies the holder.,Palmer Fire District No. 1 Clerk
Palmer,palmer-ma/fire-water-district-no-1-moderator,District Moderator,True,1,special-district,,False,,https://www.townofpalmer.com/index.asp?DE=2391814C-70B3-4B54-8AEB-3B6DEB312ECA&SEC=E3EF158B-7092-480A-AAAC-2BB1E0A4B36C,https://www.townofpalmer.com/townclerk,https://www.townofpalmer.com/townclerk,schema-ready,Separate district moderator office retained.,Palmer Fire/Water District No. 1 Moderator
Palmer,palmer-ma/three-rivers-fire-water-district-prudential-committee-member,District Prudential Committee Member,True,3,special-district,,True,,https://palmerma.govoffice3.com/index.asp?SEC=933C5915-5954-4F9C-8335-064D2490DA12&Type=B_BASIC&pri=0,https://www.townofpalmer.com/townclerk,https://www.townofpalmer.com/townclerk,schema-ready,Current district materials identify a three-member prudential committee.,Three Rivers Fire/Water District Prudential Committee Member
Palmer,palmer-ma/three-rivers-fire-district-clerk,District Clerk,True,1,special-district,,False,,https://palmerma.govoffice3.com/index.asp?SEC=98D8F89E-9FF3-49B5-9C65-AEDF8D0F88FA,https://www.townofpalmer.com/townclerk,https://www.townofpalmer.com/townclerk,schema-ready,District clerk office retained; election mechanism remains a human-review item.,Three Rivers Fire District Clerk
Palmer,palmer-ma/bondsville-fire-water-district-commissioner,District Commissioner,True,3,special-district,,True,,https://www.townofpalmer.com/waterdistrict3,https://www.townofpalmer.com/townclerk,https://www.townofpalmer.com/townclerk,schema-ready,Current official district page identifies two holders and one vacancy.,Bondsville Fire/Water District Commissioner
Palmer,palmer-ma/thorndike-water-district-commissioner,Water District Commissioner,True,3,special-district,,True,,https://www.townofpalmer.com/district4,https://www.townofpalmer.com/townclerk,https://www.townofpalmer.com/townclerk,schema-ready,Three-seat district structure preserved; one current seat is unresolved after term expiration.,Thorndike Water District Commissioner
