municipality,body,excluded_seats,reason,source_url
Wenham,Town Clerk,all,"Office converted from elected to appointed by Acts of 2024, Chapter 10.",https://ecode360.com/31532930
Wenham,Board of Assessors,3,Bylaw amended in 2024 to make all three assessor seats appointed.,https://ecode360.com/31532930
Wenham,Board of Health,3,Bylaw amended in 2024 to make all three health seats appointed.,https://ecode360.com/31532930
Wenham,Housing Authority,2 non-voter seats,Current authority includes a town-appointed tenant seat and a state appointee; only the three direct-voter seats are serialized.,https://ecode360.com/31532930
West Boylston,Town Clerk,all,Current Town Clerk is appointed under the current elected/appointed officials classification.,https://www.westboylston-ma.gov/town-clerk/pages/elected-appointed-officials
West Boylston,Board of Assessors,all,Town Administrator appointment under current classification.,https://www.westboylston-ma.gov/town-clerk/pages/elected-appointed-officials
West Boylston,Board of Health,all,Town Administrator appointment under current classification.,https://www.westboylston-ma.gov/town-clerk/pages/elected-appointed-officials
West Boylston,Housing Authority,state/tenant seat(s),Current roster reflects non-voter state/tenant participation; exact transition mix is under review.,https://www.westboylston-ma.gov/town-clerk/pages/elected-appointed-officials
West Bridgewater,Housing Authority,1 state-appointed seat,Bylaws establish four elected Housing Authority seats; the fifth member is state-appointed.,https://cms1files.revize.com/westbridgewater/document_center/Clerk/GENERAL%20BY-LAWS%207-18-24.pdf
West Brookfield,Housing Authority,1 state-appointed seat,Current authority has four local members plus one state appointee.,https://www.wbrookfield.com/
West Newbury,Housing Authority,state-appointed seat (and any tenant seat in transition),State appointee is clear; exact current direct-voter versus tenant complement remains under review.,https://malegislature.gov/Laws/SessionLaws/Acts/2017/Chapter97
