tasb_key,tasb_name,reason,tasb_url
116,A Test POL Demo ISD (POL Test),no_match,https://pol.tasb.org/PolicyOnline?key=116
125,Angelina College,no_match,https://pol.tasb.org/PolicyOnline?key=125
155,Coastal Bend College,no_match,https://pol.tasb.org/PolicyOnline?key=155
161,Temple College,no_match,https://pol.tasb.org/PolicyOnline?key=161
187,Region 20 Education Service Center,no_match,https://pol.tasb.org/PolicyOnline?key=187
200,Texarkana College,no_match,https://pol.tasb.org/PolicyOnline?key=200
214,Alvin College,no_match,https://pol.tasb.org/PolicyOnline?key=214
215,Brazosport College,no_match,https://pol.tasb.org/PolicyOnline?key=215
226,Terlingua CSD,no_match,https://pol.tasb.org/PolicyOnline?key=226
253,Texas Southmost College,no_match,https://pol.tasb.org/PolicyOnline?key=253
304,Collin College,no_match,https://pol.tasb.org/PolicyOnline?key=304
327,A Test Eric ISD,no_match,https://pol.tasb.org/PolicyOnline?key=327
335,North Central Texas College,no_match,https://pol.tasb.org/PolicyOnline?key=335
351,Crockett County Consolidated CSD,no_match,https://pol.tasb.org/PolicyOnline?key=351
358,Dallas College,no_match,https://pol.tasb.org/PolicyOnline?key=358
374,Region 10 Education Service Center,no_match,https://pol.tasb.org/PolicyOnline?key=374
405,Clarendon College,no_match,https://pol.tasb.org/PolicyOnline?key=405
406,Clarendon CISD,no_match,https://pol.tasb.org/PolicyOnline?key=406
408,Ramirez CSD,no_match,https://pol.tasb.org/PolicyOnline?key=408
413,Ranger College,no_match,https://pol.tasb.org/PolicyOnline?key=413
420,Odessa College,no_match,https://pol.tasb.org/PolicyOnline?key=420
435,El Paso County Community College District,no_match,https://pol.tasb.org/PolicyOnline?key=435
445,Region 19 Education Service Center,no_match,https://pol.tasb.org/PolicyOnline?key=445
496,Galveston College,no_match,https://pol.tasb.org/PolicyOnline?key=496
497,College of the Mainland,no_match,https://pol.tasb.org/PolicyOnline?key=497
509,Doss Consolidated CSD,no_match,https://pol.tasb.org/PolicyOnline?key=509
523,Grayson College,no_match,https://pol.tasb.org/PolicyOnline?key=523
537,Kilgore College,no_match,https://pol.tasb.org/PolicyOnline?key=537
545,Region VII Education Service Center,no_match,https://pol.tasb.org/PolicyOnline?key=545
579,Lee College,no_match,https://pol.tasb.org/PolicyOnline?key=579
580,San Jacinto College,no_match,https://pol.tasb.org/PolicyOnline?key=580
581,Houston City College,no_match,https://pol.tasb.org/PolicyOnline?key=581
603,Region 4 Education Service Center,no_match,https://pol.tasb.org/PolicyOnline?key=603
623,Trinity Valley Community College,no_match,https://pol.tasb.org/PolicyOnline?key=623
632,South Texas College,no_match,https://pol.tasb.org/PolicyOnline?key=632
648,Region One Education Service Center,no_match,https://pol.tasb.org/PolicyOnline?key=648
649,Hill College,no_match,https://pol.tasb.org/PolicyOnline?key=649
662,South Plains College,no_match,https://pol.tasb.org/PolicyOnline?key=662
702,Frank Phillips College,no_match,https://pol.tasb.org/PolicyOnline?key=702
764,Kenedy County Wide CSD,no_match,https://pol.tasb.org/PolicyOnline?key=764
772,Guthrie CSD,no_match,https://pol.tasb.org/PolicyOnline?key=772
783,Paris Junior College,no_match,https://pol.tasb.org/PolicyOnline?key=783
838,Region 17 Education Service Center,no_match,https://pol.tasb.org/PolicyOnline?key=838
858,McLennan Community College,no_match,https://pol.tasb.org/PolicyOnline?key=858
877,Education Service Center Region 12,no_match,https://pol.tasb.org/PolicyOnline?key=877
885,Midland College,no_match,https://pol.tasb.org/PolicyOnline?key=885
888,Region 18 Education Service Center,no_match,https://pol.tasb.org/PolicyOnline?key=888
895,Goldthwaite Consolidated ISD,no_match,https://pol.tasb.org/PolicyOnline?key=895
958,"Education Service Center, Region 2",no_match,https://pol.tasb.org/PolicyOnline?key=958
970,Region 5 Education Service Center,no_match,https://pol.tasb.org/PolicyOnline?key=970
977,Panola College,no_match,https://pol.tasb.org/PolicyOnline?key=977
981,Weatherford College,no_match,https://pol.tasb.org/PolicyOnline?key=981
1003,Amarillo College,no_match,https://pol.tasb.org/PolicyOnline?key=1003
1008,Region 16 Education Service Center,no_match,https://pol.tasb.org/PolicyOnline?key=1008
1061,Schleicher County ISD,no_match,https://pol.tasb.org/PolicyOnline?key=1061
1062,Western Texas College,no_match,https://pol.tasb.org/PolicyOnline?key=1062
1076,Tyler Junior College,no_match,https://pol.tasb.org/PolicyOnline?key=1076
1097,Tarrant County College,no_match,https://pol.tasb.org/PolicyOnline?key=1097
1112,Eagle Mountain-Saginaw ISD,no_match,https://pol.tasb.org/PolicyOnline?key=1112
1115,Education Service Center Region 11,no_match,https://pol.tasb.org/PolicyOnline?key=1115
1124,Region XIV Education Service Center,no_match,https://pol.tasb.org/PolicyOnline?key=1124
1132,Northeast Texas Community College,no_match,https://pol.tasb.org/PolicyOnline?key=1132
1137,Region VIII Education Service Center,no_match,https://pol.tasb.org/PolicyOnline?key=1137
