county_slug,post_id,director_name,role,term_start,source_title,source_url,retrieved
brazos,brazos-tx-cad/director-place-1,Rafael Pena III,Director,,"Brazos CAD Board of Directors page, Elected Member, Place 1",https://brazoscad.org/board-of-directors/,2026-09-02
brazos,brazos-tx-cad/director-place-2,Jane Sherman,Director,,"Brazos CAD Board of Directors page, Elected Member, Place 2",https://brazoscad.org/board-of-directors/,2026-09-02
brazos,brazos-tx-cad/director-place-3,Patrick Gendron,Director,,"Brazos CAD Board of Directors page, Elected Member, Place 3",https://brazoscad.org/board-of-directors/,2026-09-02
ellis,ellis-tx-cad/director-place-1,Paula R. Baucum,Director,,"Ellis Appraisal District board roster (term ending 12/31/2026), Place 1",https://www.taxcutter.us/us-tx/ellis-cad/,2026-09-02
ellis,ellis-tx-cad/director-place-2,Jennifer Zarate,Director,,"Ellis Appraisal District, Director Place 2 (elected 2024, term ending 12/31/2026) -- corroborated via Waxahachie Sun coverage of her district clerk campaign bio",https://www.waxahachiesun.com/news/jennifer-zarate-and-tianta-schwartz-bring-different-public-service-backgrounds-to-the-district-clerk-campaign/article_62c4bcbb-0c76-4a00-aab4-806315397e5d.html,2026-09-02
ellis,ellis-tx-cad/director-place-3,George Ricks,Director,,"Ellis Appraisal District board roster (term ending 12/31/2026), Place 3",https://www.taxcutter.us/us-tx/ellis-cad/,2026-09-02
johnson,johnson-tx-cad/director-place-1,Tina White,Chairperson,,"Central Appraisal District of Johnson County Board of Directors page -- Elected Directors (by voters), Place 1, term 7/1/24-12/31/26",https://johnsoncad.com/board-of-directors/,2026-09-02
johnson,johnson-tx-cad/director-place-2,Chris Saunders,Director,,"Central Appraisal District of Johnson County Board of Directors page -- Elected Directors (by voters), Place 2, term 4/10/25-12/31/26 (successor to the original May 2024 winner, not separately identified on this page)",https://johnsoncad.com/board-of-directors/,2026-09-02
guadalupe,guadalupe-tx-cad/director-place-1,Pam Kifer,Director,,"Guadalupe Appraisal District Board of Directors page -- At-Large Elected Directors, Place 1, term ends 12/31/2026",https://guadalupead.org/board-of-directors/,2026-09-02
guadalupe,guadalupe-tx-cad/director-place-2,Peggy Herman,Director,,"Guadalupe Appraisal District Board of Directors page -- At-Large Elected Directors, Place 2, term ends 12/31/2026",https://guadalupead.org/board-of-directors/,2026-09-02
guadalupe,guadalupe-tx-cad/director-place-3,Charles O. Kelm,Chair,,"Guadalupe Appraisal District Board of Directors page -- At-Large Elected Directors, Place 3, term ends 12/31/2026",https://guadalupead.org/board-of-directors/,2026-09-02
ector,ector-tx-cad/director-place-1,Gerardo Arzate,Director,,"Ector County Appraisal District Board of Directors flyer (revised 02/2026) -- Elected, Place 1",https://www.ectorcad.org/pdf/board_of_directors.pdf,2026-09-02
ector,ector-tx-cad/director-place-2,Feliz Abalos,Secretary,,"Ector County Appraisal District Board of Directors flyer (revised 02/2026) -- Elected, Place 2",https://www.ectorcad.org/pdf/board_of_directors.pdf,2026-09-02
ector,ector-tx-cad/director-place-3,Greg Simmons,Director,,"Ector County Appraisal District Board of Directors flyer (revised 02/2026) -- Elected, Place 3",https://www.ectorcad.org/pdf/board_of_directors.pdf,2026-09-02
comal,comal-tx-cad/director-place-1,Rob Johnson,Director,,"Herald-Zeitung, May 2024 election: Johnson defeated Camille Adams, 2897-2669 votes, At-Large Place 1",https://comalad.org/wp-content/uploads/2024/05/CAD-Board-Election-Canvass.pdf,2026-09-02
comal,comal-tx-cad/director-place-2,Debra Hindman,Director,,"Herald-Zeitung, May 2024 election: Hindman ran unopposed, At-Large Place 2",https://comalad.org/wp-content/uploads/2024/05/CAD-Board-Election-Canvass.pdf,2026-09-02
comal,comal-tx-cad/director-place-3,Robert Brown,Director,,"Herald-Zeitung, May 2024 election: Brown defeated Garrison Maurer 58.17%-41.83%, At-Large Place 3",https://comalad.org/wp-content/uploads/2024/05/CAD-Board-Election-Canvass.pdf,2026-09-02
kaufman,kaufman-tx-cad/director-place-1,Charles Carpenter,Director,,"Kaufman CAD Board of Directors page -- Elected Positions, Place 1",https://kaufman-cad.org/board-of-directors/,2026-09-02
kaufman,kaufman-tx-cad/director-place-2,Morgan Rose,Secretary,,"Kaufman CAD Board of Directors page -- Elected Positions, Place 2",https://kaufman-cad.org/board-of-directors/,2026-09-02
kaufman,kaufman-tx-cad/director-place-3,Michael Slye,Director,,"Kaufman CAD Board of Directors page -- Elected Positions, Place 3",https://kaufman-cad.org/board-of-directors/,2026-09-02
