county_slug,post_id,director_name,role,term_start,source_title,source_url,retrieved
dallas,dallas-tx-cad/director-place-1,P. Wylie Burge,Director,,"Dallas County official May 4, 2024 Joint Election canvass (Summary Results Report), Place 1: Burge 44798 votes (66.62%) vs. Singirikonda 22450 (33.38%)",https://www.dallascountyvotes.org/wp-content/uploads/2024/05/Final-Unofficial-Final.pdf,2026-09-02
dallas,dallas-tx-cad/director-place-2,Kendall Scudder,Director,,"Dallas County official May 4, 2024 Joint Election canvass (Summary Results Report), Place 2: Scudder unopposed, 62006 votes",https://www.dallascountyvotes.org/wp-content/uploads/2024/05/Final-Unofficial-Final.pdf,2026-09-02
dallas,dallas-tx-cad/director-place-3,Alexandra Stewart,Director,,"Dallas County official May 4, 2024 Joint Election canvass (Summary Results Report), Place 3: Stewart unopposed, 62218 votes",https://www.dallascountyvotes.org/wp-content/uploads/2024/05/Final-Unofficial-Final.pdf,2026-09-02
harris,harris-tx-cad/director-place-1,Kathy Blueford-Daniels,Director,2024-07-01,"Harris Central Appraisal District (HCAD) board election, May 4 2024 -- Blueford-Daniels won outright with 50.4% of the vote (only HCAD race decided without a runoff); term began July 1 2024",https://ballotpedia.org/Katherine_Blueford-Daniels,2026-09-02
harris,harris-tx-cad/director-place-2,Kyle Scott,Director,,"HCAD board election -- Place 2 went to a June 15 2024 runoff after no majority on May 4; Scott defeated Melissa Noriega by ~15 points",https://houstonlanding.org/gop-backed-candidates-win-harris-appraisal-district-runoffs-promise-taxing-transparency/,2026-09-02
harris,harris-tx-cad/director-place-3,Ericka McCrutcheon,Director,,"HCAD board election -- Place 3 went to a June 15 2024 runoff after no majority on May 4; McCrutcheon defeated Pelumi Adeleke by ~23 points",https://houstonlanding.org/gop-backed-candidates-win-harris-appraisal-district-runoffs-promise-taxing-transparency/,2026-09-02
travis,travis-tx-cad/director-place-1,Jett Hanna,Director,2024-07-01,"Travis Central Appraisal District (TCAD) Board of Directors election, May 4 2024 -- Hanna defeated Don Zimmerman with ~70% of the vote; term added to board July 1 2024",https://www.statesman.com/story/news/local/2024/05/05/election-results-tcad-travis-county-cad-central-appraisal-district-board-candidates/73542970007/,2026-09-02
travis,travis-tx-cad/director-place-2,Shenghao "Daniel" Wang,Director,2024-07-01,"TCAD Board of Directors election, May 4 2024 -- Wang won by a wide margin; term added to board July 1 2024",https://www.statesman.com/story/news/local/2024/05/05/election-results-tcad-travis-county-cad-central-appraisal-district-board-candidates/73542970007/,2026-09-02
travis,travis-tx-cad/director-place-3,Dick Lavine,Director,2024-07-01,"TCAD Board of Directors election, May 4 2024 -- Lavine won by a wide margin; term added to board July 1 2024",https://www.statesman.com/story/news/local/2024/05/05/election-results-tcad-travis-county-cad-central-appraisal-district-board-candidates/73542970007/,2026-09-02
bexar,bexar-tx-cad/director-place-1,Naomi Elizabeth Miller,Director,,"Bexar Appraisal District (BCAD) board election, May 4 2024 -- Miller defeated Anna Campos outright",https://ballotpedia.org/Municipal_elections_in_Bexar_County,_Texas_(2024),2026-09-02
bexar,bexar-tx-cad/director-place-2,Erika Hizel,Director,,"BCAD board election -- Place 2 went to a June 15 2024 runoff; Hizel defeated Stephen Spears with a 64% majority",https://www.tpr.org/news/2024-06-16/bexar-county-appraisal-district-runoff-election-results,2026-09-02
bexar,bexar-tx-cad/director-place-3,Robert Bruce,Director,,"BCAD board election -- Place 3 went to a June 15 2024 runoff; Bruce defeated G.L. \"Larry\" Lamborn with 53% of the vote",https://www.tpr.org/news/2024-06-16/bexar-county-appraisal-district-runoff-election-results,2026-09-02
tarrant,tarrant-tx-cad/director-place-1,Eric Morris,Director,,"Tarrant Appraisal District (TAD) board election, May 4 2024 -- Morris won outright with 54% of the vote",https://communityimpact.com/dallas-fort-worth/grapevine-colleyville-southlake/election/2024/05/04/morris-rigney-bryant-win-races-for-3-tarrant-appraisal-district-seats/,2026-09-02
tarrant,tarrant-tx-cad/director-place-2,Callie Rigney,Director,,"TAD board election, May 4 2024 -- Rigney won outright with 62% of the vote",https://communityimpact.com/dallas-fort-worth/grapevine-colleyville-southlake/election/2024/05/04/morris-rigney-bryant-win-races-for-3-tarrant-appraisal-district-seats/,2026-09-02
tarrant,tarrant-tx-cad/director-place-3,Matt Bryant,Director,,"TAD board election, May 4 2024 -- Bryant won outright with 50.50% of the vote, narrowly avoiding a runoff (term began July 1 2024)",https://communityimpact.com/dallas-fort-worth/grapevine-colleyville-southlake/election/2024/05/04/morris-rigney-bryant-win-races-for-3-tarrant-appraisal-district-seats/,2026-09-02
