municipality,office_body,status,controlling_source_url,note,retrieved_on
Plymouth,Housing Authority tenant-appointed seat,appointed,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleXVII/Chapter121b/Section5,Tenant member is appointed and excluded from the three locally elected seats.,2026-08-25
Plymouth,Housing Authority state-appointed seat,appointed,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleXVII/Chapter121b/Section5,State-appointed member excluded.,2026-08-25
Plymouth,Redevelopment Authority state-appointed seat,appointed,https://www.plymouth-ma.gov/DocumentCenter/View/9752/2026-Candidate-Info-Packet-PDF,State-appointed fifth member excluded from four elected seats.,2026-08-25
Plymouth,Advisory and Finance Committee,appointed,https://plymouth-ma.gov/AgendaCenter/ViewFile/Agenda/_08202025-2904,Fifteen-member committee is appointed by the Town Moderator.,2026-08-25
Plympton,Treasurer/Collector,appointed,https://malegislature.gov/Laws/SessionLaws/Acts/2012/Chapter80,Special act abolished the separately elected treasurer and collector offices and established an appointed combined Treasurer/Collector.,2026-08-25
Princeton,Planning Board associate member,appointed,https://www.town.princeton.ma.us/planning-board/files/rules-regulations-governing-planning-board,Associate member is jointly appointed by Select Board and Planning Board; excluded from five elected seats.,2026-08-25
Provincetown,Housing Authority tenant representative,appointed,https://provincetown-ma.gov/137/Housing-Authority,Charlene Parris is the tenant representative and is excluded from the three locally elected seats.,2026-08-25
Provincetown,Housing Authority state appointee,appointed,https://provincetown-ma.gov/137/Housing-Authority,State appointee excluded from three locally elected seats.,2026-08-25
Provincetown,Finance Committee,appointed,https://www.provincetown-ma.gov/DocumentCenter/View/202/Charter,Town Moderator is the appointing authority for the Finance Committee.,2026-08-25
Provincetown,Board of Assessors,appointed,https://www.provincetown-ma.gov/DocumentCenter/Home/View/812,Current official vacancy report identifies Select Board appointment authority for this body.,2026-08-25
Provincetown,Board of Health,appointed,https://www.provincetown-ma.gov/DocumentCenter/Home/View/812,Current official vacancy report identifies Select Board appointment authority for this body.,2026-08-25
Provincetown,Planning Board,appointed,https://www.provincetown-ma.gov/DocumentCenter/Home/View/812,Current official vacancy report identifies Select Board appointment authority for this body.,2026-08-25
Provincetown,Zoning Board of Appeals,appointed,https://www.provincetown-ma.gov/DocumentCenter/Home/View/812,Current official vacancy report identifies Select Board appointment authority for this body.,2026-08-25
Quincy,Mayor's ex-officio School Committee seat,appointed,https://quincypublicschools.ss19.sharpschool.com/cms/one.aspx?pageId=23458549,Mayor is chair by virtue of office; not one of the six separately elected School Committee seats.,2026-08-25
Quincy,City Clerk,appointed,https://ecode360.com/29090111,City Clerk is not classified among the City's voter-elected officials; office functions as Clerk of the Council. No voter-elected City Clerk Post is created.,2026-08-25
Quincy,Board of Registrars of Voters,appointed,https://ecode360.com/29089737,Board is appointed by the Mayor; its internal clerk election is not a public election.,2026-08-25
