municipality,office_body,status,controlling_source_url,note,retrieved_on
Paxton,Town Clerk,appointed,https://malegislature.gov/Laws/SessionLaws/Acts/2013/Chapter122,Town Administrator appointment authority covers Town Clerk.,2026-08-25
Paxton,Treasurer,appointed,https://malegislature.gov/Laws/SessionLaws/Acts/2013/Chapter122,Town Administrator appointment authority covers Treasurer.,2026-08-25
Paxton,Collector,appointed,https://malegislature.gov/Laws/SessionLaws/Acts/2013/Chapter122,Town Administrator appointment authority covers Collector.,2026-08-25
Paxton,Library Director ex officio seat,appointed,https://www.paxtonma.gov/1223/Richards-Memorial-Library-Board-of-Trust,Ex-officio director is excluded from the six elected trustee seats.,2026-08-25
Peabody,City Clerk,appointed,https://peabody-ma.gov/city%20clerk/Election%20Calendar2025.pdf,City Clerk administers elections but is not among the voter-elected offices on the biennial city ballot; current office is administrative/appointed.,2026-08-25
Pelham,Town Clerk,appointed,https://pelhamma.gov/files/2025_Final_Town_Report.pdf,2025 annual report explicitly labels the Town Clerk appointed.,2026-08-25
Pelham,Treasurer,appointed,https://pelhamma.gov/files/2025_Final_Town_Report.pdf,2025 annual report explicitly labels the Treasurer appointed.,2026-08-25
Pelham,Zoning Board of Appeals,appointed,https://pelhamma.gov/files/2023_Final_Town_Report.pdf,Official annual report explicitly states Select Board appointment.,2026-08-25
Pembroke,Housing Authority resident appointee,appointed,https://www.pembroke-ma.gov/DocumentCenter/View/8003/2025-Annual-Report?bidId=,Resident-appointed authority seat excluded from three elected seats.,2026-08-25
Pembroke,Housing Authority state appointee,appointed,https://www.pembroke-ma.gov/DocumentCenter/View/8003/2025-Annual-Report?bidId=,State-appointed authority seat excluded from three elected seats.,2026-08-25
Pepperell,Board of Public Works appointed seats,appointed,https://town.pepperell.ma.us/345/Public-Works-Board-Of,Two of the five BPW seats are Select Board appointments; only three elected seats are modeled.,2026-08-25
Pepperell,Nashoba Valley Technical School District Committee,appointed,https://town.pepperell.ma.us/DocumentCenter/View/9999/09-24-2025-NVTHS-Appt,District agreement requires appointment by a local appointing committee; not voter elected.,2026-08-25
Pepperell,Nashoba Valley Technical School District alternate,appointed,https://town.pepperell.ma.us/DocumentCenter/View/9999/09-24-2025-NVTHS-Appt,Alternate is appointed under district agreement.,2026-08-25
Pepperell,Planning Board associate member,appointed,https://www.town.pepperell.ma.us/344/Planning-Board,Associate member is appointed by Select Board and excluded from five elected seats.,2026-08-25
Pepperell,Housing Authority state appointee,appointed,https://town.pepperell.ma.us/342/Housing-Authority,State-appointed member excluded from three elected seats.,2026-08-25
Pepperell,Housing Authority tenant appointee,appointed,https://town.pepperell.ma.us/342/Housing-Authority,Tenant-appointed member excluded from three elected seats.,2026-08-25
Pepperell,Town Clerk,appointed,https://town.pepperell.ma.us/DocumentCenter/View/7433/Pepperell-Charter-Revision-20220819-Clean,Current charter's elective-office enumeration does not include Town Clerk.,2026-08-25
Pepperell,Finance Committee,appointed,https://www.town.pepperell.ma.us/268/Opportunities-Bids-Openings,"Town volunteer opportunities place Finance Committee among appointment opportunities, not elected offices.",2026-08-25
