municipality,office_id,role,elected,seats,seat_structure,term_years,staggered_terms,partisan,legal_source_url,election_source_url,results_source_url,verification_status,notes,local_title
Sunderland,sunderland-ma/select-board,Select Board Member,True,3,board,3,True,,https://www.townofsunderland.us/home/files/annual-report-2024-final,https://www.townofsunderland.us/351/VOTING-INFORMATION,https://www.townofsunderland.us/351/VOTING-INFORMATION,schema-ready,Official annual reports and current election archive support the elected structure; the Select Board also serves as Sewer Commissioners and is not duplicated. Frontier/park ex-officio or will-designated seats are excluded.,Select Board Member
Sunderland,sunderland-ma/board-assessors,Board of Assessors,True,3,board,3,True,,https://www.townofsunderland.us/home/files/annual-report-2024-final,https://www.townofsunderland.us/351/VOTING-INFORMATION,https://www.townofsunderland.us/351/VOTING-INFORMATION,schema-ready,Official annual reports and current election archive support the elected structure; the Select Board also serves as Sewer Commissioners and is not duplicated. Frontier/park ex-officio or will-designated seats are excluded.,Board of Assessors
Sunderland,sunderland-ma/board-health,Board of Health,True,3,board,3,True,,https://www.townofsunderland.us/home/files/annual-report-2024-final,https://www.townofsunderland.us/351/VOTING-INFORMATION,https://www.townofsunderland.us/351/VOTING-INFORMATION,schema-ready,Official annual reports and current election archive support the elected structure; the Select Board also serves as Sewer Commissioners and is not duplicated. Frontier/park ex-officio or will-designated seats are excluded.,Board of Health
Sunderland,sunderland-ma/elementary-school-committee,Sunderland Elementary School Committee Member,True,5,board,3,True,,https://www.townofsunderland.us/home/files/annual-report-2024-final,https://www.townofsunderland.us/351/VOTING-INFORMATION,https://www.townofsunderland.us/351/VOTING-INFORMATION,schema-ready,Official annual reports and current election archive support the elected structure; the Select Board also serves as Sewer Commissioners and is not duplicated. Frontier/park ex-officio or will-designated seats are excluded.,Sunderland Elementary School Committee Member
Sunderland,sunderland-ma/frontier-regional-school-committee,Frontier Regional School Committee Direct-Elected Sunderland Member,True,2,board,3,True,,https://www.townofsunderland.us/home/files/annual-report-2024-final,https://www.townofsunderland.us/351/VOTING-INFORMATION,https://www.townofsunderland.us/351/VOTING-INFORMATION,schema-ready,Official annual reports and current election archive support the elected structure; the Select Board also serves as Sewer Commissioners and is not duplicated. Frontier/park ex-officio or will-designated seats are excluded.,Frontier Regional School Committee Direct-Elected Sunderland Member
Sunderland,sunderland-ma/library-trustee,Library Trustee,True,9,board,3,True,,https://www.townofsunderland.us/home/files/annual-report-2024-final,https://www.townofsunderland.us/351/VOTING-INFORMATION,https://www.townofsunderland.us/351/VOTING-INFORMATION,schema-ready,Official annual reports and current election archive support the elected structure; the Select Board also serves as Sewer Commissioners and is not duplicated. Frontier/park ex-officio or will-designated seats are excluded.,Library Trustee
Sunderland,sunderland-ma/planning-board,Planning Board Member,True,5,board,5,True,,https://www.townofsunderland.us/home/files/annual-report-2024-final,https://www.townofsunderland.us/351/VOTING-INFORMATION,https://www.townofsunderland.us/351/VOTING-INFORMATION,schema-ready,Official annual reports and current election archive support the elected structure; the Select Board also serves as Sewer Commissioners and is not duplicated. Frontier/park ex-officio or will-designated seats are excluded.,Planning Board Member
Sunderland,sunderland-ma/riverside-cemetery-trustee,Riverside Cemetery Trustee,True,3,board,3,True,,https://www.townofsunderland.us/home/files/annual-report-2024-final,https://www.townofsunderland.us/351/VOTING-INFORMATION,https://www.townofsunderland.us/351/VOTING-INFORMATION,schema-ready,Official annual reports and current election archive support the elected structure; the Select Board also serves as Sewer Commissioners and is not duplicated. Frontier/park ex-officio or will-designated seats are excluded.,Riverside Cemetery Trustee
Sunderland,sunderland-ma/town-clerk,Town Clerk,True,1,single,3,False,,https://www.townofsunderland.us/home/files/annual-report-2024-final,https://www.townofsunderland.us/351/VOTING-INFORMATION,https://www.townofsunderland.us/351/VOTING-INFORMATION,schema-ready,Official annual reports and current election archive support the elected structure; the Select Board also serves as Sewer Commissioners and is not duplicated. Frontier/park ex-officio or will-designated seats are excluded.,Town Clerk
Sunderland,sunderland-ma/moderator,Moderator,True,1,single,1,False,,https://www.townofsunderland.us/home/files/annual-report-2024-final,https://www.townofsunderland.us/351/VOTING-INFORMATION,https://www.townofsunderland.us/351/VOTING-INFORMATION,schema-ready,Official annual reports and current election archive support the elected structure; the Select Board also serves as Sewer Commissioners and is not duplicated. Frontier/park ex-officio or will-designated seats are excluded.,Moderator
