municipality,office_id,role,elected,seats,seat_structure,term_years,staggered_terms,partisan,legal_source_url,election_source_url,results_source_url,verification_status,notes,local_title
Leominster,leominster-ma/mayor,Mayor,True,1,single,2,False,,https://library.municode.com/ma/leominster/codes/code_of_ordinances?nodeId=PTICH,https://www.leominster-ma.gov/376/Elections,https://www.leominster-ma.gov/376/Elections,schema-ready,,Mayor
Leominster,leominster-ma/city-council,City Council Member,True,9,mixed,2,False,,https://library.municode.com/ma/leominster/codes/code_of_ordinances?nodeId=PTICH,https://www.leominster-ma.gov/376/Elections,https://www.leominster-ma.gov/376/Elections,schema-ready,Four at-large and five ward seats.,City Council Member
Leominster,leominster-ma/school-committee,School Committee Member,True,8,mixed,2,False,,https://library.municode.com/ma/leominster/codes/code_of_ordinances?nodeId=PTICH,https://www.leominster-ma.gov/376/Elections,https://www.leominster-ma.gov/376/Elections,schema-ready,Three at-large and five ward voter-elected seats; Mayor serves ex officio and is excluded.,School Committee Member
Leverett,leverett-ma/select-board,Select Board Member,True,3,board,3,True,,https://www.leverett.ma.us/sites/g/files/vyhlif13466/f/uploads/leverett_code_2025.pdf,https://www.leverett.ma.us/town-clerk,https://www.leverett.ma.us/town-clerk,schema-ready,,Select Board Member
Leverett,leverett-ma/finance-committee,Finance Committee Member,True,5,board,3,True,,https://www.leverett.ma.us/sites/g/files/vyhlif13466/f/uploads/leverett_code_2025.pdf,https://www.leverett.ma.us/town-clerk,https://www.leverett.ma.us/town-clerk,schema-ready,,Finance Committee Member
Leverett,leverett-ma/board-of-health,Board of Health Member,True,5,board,3,True,,https://www.leverett.ma.us/sites/g/files/vyhlif13466/f/uploads/leverett_code_2025.pdf,https://www.leverett.ma.us/town-clerk,https://www.leverett.ma.us/town-clerk,schema-ready,,Board of Health Member
Leverett,leverett-ma/school-committee,School Committee Member,True,5,board,3,True,,https://www.leverett.ma.us/sites/g/files/vyhlif13466/f/uploads/leverett_code_2025.pdf,https://www.leverett.ma.us/town-clerk,https://www.leverett.ma.us/town-clerk,schema-ready,,School Committee Member
Leverett,leverett-ma/board-of-assessors,Assessor,True,3,board,3,True,,https://www.leverett.ma.us/sites/g/files/vyhlif13466/f/uploads/leverett_code_2025.pdf,https://www.leverett.ma.us/town-clerk,https://www.leverett.ma.us/town-clerk,schema-ready,,Assessor
Leverett,leverett-ma/library-trustees,Library Trustee,True,6,board,3,True,,https://www.leverett.ma.us/sites/g/files/vyhlif13466/f/uploads/leverett_code_2025.pdf,https://www.leverett.ma.us/town-clerk,https://www.leverett.ma.us/town-clerk,schema-ready,,Library Trustee
Leverett,leverett-ma/planning-board,Planning Board Member,True,7,board,5,True,,https://www.leverett.ma.us/sites/g/files/vyhlif13466/f/uploads/leverett_code_2025.pdf,https://www.leverett.ma.us/town-clerk,https://www.leverett.ma.us/town-clerk,schema-ready,,Planning Board Member
Leverett,leverett-ma/moderator,Town Moderator,True,1,single,3,False,,https://www.leverett.ma.us/sites/g/files/vyhlif13466/f/uploads/leverett_code_2025.pdf,https://www.leverett.ma.us/town-clerk,https://www.leverett.ma.us/town-clerk,schema-ready,,Town Moderator
Leverett,leverett-ma/constables,Constable,True,3,board,3,True,,https://www.leverett.ma.us/sites/g/files/vyhlif13466/f/uploads/leverett_code_2025.pdf,https://www.leverett.ma.us/town-clerk,https://www.leverett.ma.us/town-clerk,schema-ready,,Constable
Lexington,lexington-ma/select-board,Select Board Member,True,5,board,3,True,,https://www.lexingtonma.gov/DocumentCenter/View/14440/Guide-to-Seeking-Elected-Office-2026-PDF,https://www.lexingtonma.gov/DocumentCenter/View/14440/Guide-to-Seeking-Elected-Office-2026-PDF,https://www.lexingtonma.gov/DocumentCenter/View/14764/2026-Annual-Town-Election-Results-PDF,schema-ready,,Select Board Member
Lexington,lexington-ma/moderator,Town Moderator,True,1,single,1,False,,https://www.lexingtonma.gov/DocumentCenter/View/14440/Guide-to-Seeking-Elected-Office-2026-PDF,https://www.lexingtonma.gov/DocumentCenter/View/14440/Guide-to-Seeking-Elected-Office-2026-PDF,https://www.lexingtonma.gov/DocumentCenter/View/14764/2026-Annual-Town-Election-Results-PDF,schema-ready,,Town Moderator
Lexington,lexington-ma/school-committee,School Committee Member,True,5,board,3,True,,https://www.lexingtonma.gov/DocumentCenter/View/14440/Guide-to-Seeking-Elected-Office-2026-PDF,https://www.lexingtonma.gov/DocumentCenter/View/14440/Guide-to-Seeking-Elected-Office-2026-PDF,https://www.lexingtonma.gov/DocumentCenter/View/14764/2026-Annual-Town-Election-Results-PDF,schema-ready,,School Committee Member
Lexington,lexington-ma/planning-board,Planning Board Member,True,5,board,3,True,,https://www.lexingtonma.gov/DocumentCenter/View/14440/Guide-to-Seeking-Elected-Office-2026-PDF,https://www.lexingtonma.gov/DocumentCenter/View/14440/Guide-to-Seeking-Elected-Office-2026-PDF,https://www.lexingtonma.gov/DocumentCenter/View/14764/2026-Annual-Town-Election-Results-PDF,schema-ready,,Planning Board Member
Lexington,lexington-ma/housing-authority,Housing Authority Member,True,3,board,5,True,,https://www.lexingtonma.gov/DocumentCenter/View/14440/Guide-to-Seeking-Elected-Office-2026-PDF,https://www.lexingtonma.gov/DocumentCenter/View/14440/Guide-to-Seeking-Elected-Office-2026-PDF,https://www.lexingtonma.gov/DocumentCenter/View/14764/2026-Annual-Town-Election-Results-PDF,schema-ready,Three local voter-elected authority seats; tenant/state appointed seats excluded.,Housing Authority Member
Lexington,lexington-ma/town-meeting-member,Representative Town Meeting Member,True,189,districted-board,3,True,,https://www.lexingtonma.gov/DocumentCenter/View/14440/Guide-to-Seeking-Elected-Office-2026-PDF,https://www.lexingtonma.gov/DocumentCenter/View/14440/Guide-to-Seeking-Elected-Office-2026-PDF,https://www.lexingtonma.gov/DocumentCenter/View/14764/2026-Annual-Town-Election-Results-PDF,schema-ready,Twenty-one members elected in each of nine precincts.,Representative Town Meeting Member
Leyden,leyden-ma/board-of-assessors,Assessor,True,3,board,3,True,,https://www.townofleyden.com/files/Annual-Town-Report-FY2025.pdf,https://www.townofleyden.com/town-clerk,https://www.townofleyden.com/town-clerk,schema-ready,,Assessor
Leyden,leyden-ma/board-of-health,Board of Health Member,True,3,board,3,True,,https://www.townofleyden.com/files/Annual-Town-Report-FY2025.pdf,https://www.townofleyden.com/town-clerk,https://www.townofleyden.com/town-clerk,schema-ready,,Board of Health Member
Leyden,leyden-ma/constables,Constable,True,3,board,3,True,,https://www.townofleyden.com/files/Annual-Town-Report-FY2025.pdf,https://www.townofleyden.com/town-clerk,https://www.townofleyden.com/town-clerk,schema-ready,,Constable
Leyden,leyden-ma/library-trustees,Library Trustee,True,3,board,3,True,,https://www.townofleyden.com/files/Annual-Town-Report-FY2025.pdf,https://www.townofleyden.com/town-clerk,https://www.townofleyden.com/town-clerk,schema-ready,,Library Trustee
Leyden,leyden-ma/moderator,Town Moderator,True,1,single,1,False,,https://www.townofleyden.com/files/Annual-Town-Report-FY2025.pdf,https://www.townofleyden.com/town-clerk,https://www.townofleyden.com/town-clerk,schema-ready,,Town Moderator
Leyden,leyden-ma/planning-board,Planning Board Member,True,5,board,5,True,,https://www.townofleyden.com/files/Annual-Town-Report-FY2025.pdf,https://www.townofleyden.com/town-clerk,https://www.townofleyden.com/town-clerk,schema-ready,,Planning Board Member
Leyden,leyden-ma/select-board,Select Board Member,True,3,board,3,True,,https://www.townofleyden.com/files/Annual-Town-Report-FY2025.pdf,https://www.townofleyden.com/town-clerk,https://www.townofleyden.com/town-clerk,schema-ready,,Select Board Member
Leyden,leyden-ma/tree-warden,Tree Warden,True,1,single,1,False,,https://www.townofleyden.com/files/Annual-Town-Report-FY2025.pdf,https://www.townofleyden.com/town-clerk,https://www.townofleyden.com/town-clerk,schema-ready,,Tree Warden
Lincoln,lincoln-ma/moderator,Town Moderator,True,1,single,3,False,,https://www.lincolntown.org/DocumentCenter/View/96611/2025-Annual-Town-Report-PDF,https://www.lincolntown.org/156/Elections,https://www.lincolntown.org/156/Elections,schema-ready,,Town Moderator
Lincoln,lincoln-ma/town-clerk,Town Clerk,True,1,single,3,False,,https://www.lincolntown.org/DocumentCenter/View/96611/2025-Annual-Town-Report-PDF,https://www.lincolntown.org/156/Elections,https://www.lincolntown.org/156/Elections,schema-ready,,Town Clerk
