municipality,office_body,status,controlling_source_url,note,retrieved_on
Randolph,Town Council representative to School Committee,appointed,https://www.randolph-ma.gov/DocumentCenter/View/3857/2026-03-02---PDF-Randolph-Council-Rules-and-Procedures---Revised-March-2-2026,Council President designates a Town Council representative; this appointed/ex-officio role is excluded from the six voter-elected School Committee seats.,2026-08-25
Raynham,Treasurer/Collector,appointed,https://www.town.raynham.ma.us/selectmen-administration/files/division-local-services-finance-structure-review,DLS structure review identifies Treasurer/Collector as an appointed finance-office function.,2026-08-25
Raynham,Finance Committee,appointed,https://www.town.raynham.ma.us/selectmen-administration/files/division-local-services-finance-structure-review,Finance Committee members are appointed rather than voter elected.,2026-08-25
Raynham,Tree Warden,appointed,https://www.town.raynham.ma.us/selectmen-administration/files/general-laws-former,Town law places Tree Warden appointment with the Select Board.,2026-08-25
Raynham,Housing Authority tenant-appointed seat,appointed,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleXVII/Chapter121b/Section5,Tenant-appointed seat excluded from the three locally elected Housing Authority seats.,2026-08-25
Raynham,Housing Authority state-appointed seat,appointed,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleXVII/Chapter121b/Section5,State-appointed seat excluded from the three locally elected Housing Authority seats.,2026-08-25
Raynham,Raynham Center Water District Clerk/Treasurer,appointed,https://malegislature.gov/Laws/SessionLaws/Acts/2024/Chapter207,"Acts of 2024, c.207 converted district clerk/treasurer functions to appointment; they are excluded from elected district offices.",2026-08-25
Raynham,North Raynham Water District Clerk/Treasurer,appointed,https://malegislature.gov/Laws/SessionLaws/Acts/2024/Chapter271,"Acts of 2024, c.271 converted district clerk/treasurer functions to appointment; they are excluded from elected district offices.",2026-08-25
Reading,Board of Assessors,appointed,https://readingma.gov/DocumentCenter/View/16619/2025-02-10-Charter-Review-Committee-Packet-PDF?bidId=,Current charter-review materials identify the Board of Assessors as appointed rather than voter elected.,2026-08-25
Reading,Finance Committee,appointed,https://readingma.gov/DocumentCenter/View/16619/2025-02-10-Charter-Review-Committee-Packet-PDF?bidId=,Finance Committee is appointment-based under the current charter structure.,2026-08-25
Reading,Housing Authority local seats,appointed,https://www.readingma.gov/DocumentCenter/View/19930/2026-May-June-Volunteer-Appointment-Subcommittee-Packet-PDF,"Current municipal practice/roster treats local Housing Authority seats as Select Board appointments, but current M.G.L. c.121B §5 appears to require three elected town seats notwithstanding contrary law. This conflict is unresolved; no elected Housing Authority Post is serialized pending legal/transition reconciliation.",2026-08-25
Rehoboth,Housing Authority tenant-appointed seat,appointed,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleXVII/Chapter121b/Section5,Tenant-appointed seat excluded from three locally elected Housing Authority seats.,2026-08-25
Rehoboth,Housing Authority state-appointed seat,appointed,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleXVII/Chapter121b/Section5,State-appointed seat excluded from three locally elected Housing Authority seats.,2026-08-25
Rehoboth,Stormwater Management Committee,appointed,https://www.town.rehoboth.ma.us/sites/g/files/vyhlif4911/f/uploads/general_by_law_10-29-19-stm-final-2-3-2020.pdf,Stormwater Management Committee itself is appointment-based; the separately elected Stormwater Officer is modeled.,2026-08-25
Revere,Mayor's ex-officio School Committee role,appointed,https://malegislature.gov/Laws/SessionLaws/Acts/2024/Chapter7,Mayor participates ex officio and is not one of the eight separately elected School Committee seats.,2026-08-25
Revere,Housing Authority local members,appointed,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleXVII/Chapter121b/Section5,"For a city, M.G.L. c.121B §5 provides mayoral appointment of local Housing Authority members; no voter-elected Housing Authority Post is created.",2026-08-25
Revere,City Clerk,appointed,https://www.revere.org/elected-officials/city-council,City Clerk is not among the City's voter-elected municipal offices and is not serialized as elected.,2026-08-25
