municipality,office_id,role,elected,seats,seat_structure,term_years,staggered_terms,partisan,legal_source_url,election_source_url,results_source_url,verification_status,notes,local_title
West Springfield,west-springfield-ma/mayor,Mayor,True,1,board,4,False,,https://ecode360.com/33005102,https://www.townofwestspringfield.org/,https://www.townofwestspringfield.org/,schema-ready,,Mayor
West Springfield,west-springfield-ma/town-council,Town Councilor,True,9,board,2,True,,https://ecode360.com/33005084,https://www.townofwestspringfield.org/,https://www.townofwestspringfield.org/,schema-ready,"Five at-large and four district councilors, all direct-voter elected.",Town Councilor
West Springfield,west-springfield-ma/school-committee,School Committee Member,True,6,board,2,True,,https://ecode360.com/33005115,https://www.townofwestspringfield.org/,https://www.wsps.org/District/School-Commitee,schema-ready,Six direct-voter members; Mayor is seventh member ex officio and excluded as a separate Post.,School Committee Member
West Stockbridge,west-stockbridge-ma/moderator,Moderator,True,1,board,1,False,,https://ecode360.com/33408050,https://www.weststockbridgema.gov/,https://www.weststockbridgema.gov/,schema-ready,,Moderator
West Stockbridge,west-stockbridge-ma/town-clerk,Town Clerk,True,1,board,3,True,,https://ecode360.com/33408050,https://www.weststockbridgema.gov/,https://www.weststockbridgema.gov/,schema-ready,,Town Clerk
West Stockbridge,west-stockbridge-ma/select-board,Select Board Member,True,3,board,3,True,,https://ecode360.com/33408050,https://www.weststockbridgema.gov/,https://www.weststockbridgema.gov/,schema-ready,,Select Board Member
West Stockbridge,west-stockbridge-ma/assessors,Assessor,True,3,board,3,True,,https://ecode360.com/33408050,https://www.weststockbridgema.gov/,https://www.weststockbridgema.gov/,schema-ready,,Assessor
West Stockbridge,west-stockbridge-ma/tax-collector,Tax Collector,True,1,board,3,True,,https://ecode360.com/33408050,https://www.weststockbridgema.gov/,https://www.weststockbridgema.gov/,schema-ready,,Tax Collector
West Stockbridge,west-stockbridge-ma/tree-warden,Tree Warden,True,1,board,3,True,,https://ecode360.com/33408050,https://www.weststockbridgema.gov/,https://www.weststockbridgema.gov/,schema-ready,,Tree Warden
West Stockbridge,west-stockbridge-ma/constables,Constable,True,5,board,3,True,,https://ecode360.com/33408050,https://www.weststockbridgema.gov/,https://www.weststockbridgema.gov/,schema-ready,,Constable
West Stockbridge,west-stockbridge-ma/finance-committee,Finance Committee Member,True,5,board,3,True,,https://ecode360.com/33408739,https://www.weststockbridgema.gov/,https://www.weststockbridgema.gov/,schema-ready,,Finance Committee Member
West Stockbridge,west-stockbridge-ma/planning-board,Planning Board Member,True,5,board,5,True,,https://ecode360.com/33408739,https://www.weststockbridgema.gov/,https://www.weststockbridgema.gov/,schema-ready,,Planning Board Member
West Stockbridge,west-stockbridge-ma/board-of-health,Board of Health Member,True,3,board,3,True,,https://ecode360.com/33408739,https://www.weststockbridgema.gov/,https://www.weststockbridgema.gov/,schema-ready,,Board of Health Member
